Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
SGH,Smart Global Holdings Inc,38.9,15.6,--,12.3,2.99,0.75,10.1,4.24%,0.65,8.21%,2.65%,1
SGU,Star Group LP,29.38,27.29,5.31%,9.42,1.72,0.25,8.81,1.01%,0.46,6.11%,2.38%,1
SHAK,Shake Shack Inc,93.09,117.49,--,93.31,7.88,4.04,45.01,4.78%,0.01,8.14%,3.30%,1
SHBI,Shore Bancshares Inc,13.93,13.35,2.91%,12.89,1.08,3.53,11.59,26.43%,0,8.28%,1.00%,1
SHCAY,Sharp Corp,19.94,18.53,--,3.88,3.3,0.39,6.18,3.06%,1.96,25.08%,3.30%,1
SHEN,Shenandoah Telecommunications Co,37.6,45.35,0.69%,37.09,4.42,3.32,9.86,7.39%,1.47,12.22%,3.39%,1
SHG,Shinhan Financial Group Co Ltd,5.9,6.27,3.89%,35.65,0.49,0.9,5.61,17.96%,2.47,9.05%,0.72%,1
SHI,Sinopec Shanghai Petrochemical Co Ltd,7.64,4.19,12.17%,10.3,0.78,0.39,5.35,5.58%,0,10.21%,6.55%,1
SHO,Sunstone Hotel Investors Inc,19.39,12.59,17.92%,26.71,1.2,2.64,7.56,22.35%,0.37,6.17%,4.48%,1
SHOO,Steven Madden Ltd,25.48,27.55,1.44%,21.37,4.17,1.98,22.74,7.94%,0,16.12%,11.46%,1
SHW,Sherwin-Williams Co,38.35,48.96,0.80%,26.74,13.01,2.93,30.86,6.27%,2,34.64%,6.78%,1
SI,Silvergate Capital Corp,10.07,13.27,--,13.89,1.23,3.26,12.61,28.93%,0.09,14.14%,1.37%,1
SIAF,Sino Agro Food Inc,0.23,0.24,--,0.11,0.01,0.04,0.18,11.16%,0.02,3.70%,2.99%,1
SID,Companhia Siderurgica Nacional,7.86,3.81,6.81%,11.61,2.2,0.79,3.05,22.64%,2.73,30.25%,5.94%,1
SIEB,Siebert Financial Corp,27.82,19.66,--,8.66,11.6,9.72,21.79,39.83%,0,52.67%,45.10%,1
SIEGY,Siemens AG,18.27,18.31,3.40%,9.86,1.95,1.13,10.77,6.50%,0.63,11.05%,3.91%,1
SIFY,Sify Technologies Ltd,12.99,12.99,1.39%,17.95,1.48,0.74,6.14,4.96%,0.31,10.80%,3.93%,1
SIGA,SIGA Technologies Inc,8.27,0.99,--,5.13,4.04,17.3,0.99,88.42%,0.77,63.93%,28.64%,1
SIGI,Selective Insurance Group Inc,16.85,22.09,1.39%,15.96,1.84,1.42,17.57,6.90%,0.26,12.15%,2.82%,1
SILC,Silicom Ltd,15.54,18.82,--,22.95,1.67,2.18,15.25,10.94%,0,11.38%,9.94%,1
SIM,Grupo Simec SAB de CV,16.17,8.8,--,10.1,0.86,0.91,7.33,9.28%,0,5.35%,3.13%,1
SIMA,Sonics & Materials Inc,79.84,79.84,--,11,7.36,4.18,68.41,5.23%,0.01,9.67%,5.50%,1
SIMO,Silicon Motion Technology Corp,33.95,18.97,2.52%,20.8,3.37,4.4,16.66,18.49%,0,9.52%,7.93%,1
SINA,SINA Corp,24.1,24.07,--,14.19,1.03,1.36,6.21,20.22%,0.6,4.40%,6.17%,1
SITE,SiteOne Landscape Supply Inc,53.19,51.72,--,47.19,9.78,1.64,29.57,3.55%,1.52,21.54%,5.42%,1
SIVB,SVB Financial Group,11.64,13.9,--,11.78,2.2,4.09,12.14,38.32%,0.12,21.09%,1.88%,1
SJI,South Jersey Industries Inc,33.24,146.88,3.79%,27.92,2.03,1.64,19.81,0.75%,1.43,6.31%,1.27%,1
SJM,J M Smucker Co,21.26,23.07,3.37%,12.84,1.47,1.56,12.39,6.56%,0.57,6.89%,3.29%,1
SJW,SJW Group,49.63,38.06,1.74%,41.04,2.19,5,20.57,9.75%,0.57,5.50%,2.13%,1
SKAS,Saker Aviation Services Inc,8.88,19.4,8.59%,5.82,1.08,0.51,7.52,2.80%,0,12.53%,9.89%,1
SKFRY,AB Skf,12.76,11.61,3.31%,14.47,2.26,0.99,8.57,8.85%,0.53,19.84%,7.56%,1
SKM,SK Telecom Co Ltd,11.9,5.24,4.35%,14.68,0.73,1.05,2.91,18.56%,0.42,6.21%,3.36%,1
SKT,Tanger Factory Outlet Centers Inc,12.67,35.06,8.90%,12.21,3.13,3.05,8.42,9.02%,3.32,24.30%,5.29%,1
SKX,Skechers USA Inc,19.62,22.96,--,18.94,3,1.34,14.2,7.76%,0.02,15.93%,10.88%,1
SKYW,SkyWest Inc,9.91,12.09,0.75%,10.28,1.53,1.07,5.26,8.70%,1.24,16.55%,5.24%,1
SLAB,Silicon Laboratories Inc,214.08,66.61,--,36.27,4.75,6.18,37.17,9.04%,0.34,2.33%,1.53%,1
SLCT,Select Bancorp Inc,15.95,13.74,--,15.49,1.04,4.24,13.36,26.46%,0.27,6.93%,1.15%,1
SLG,SL Green Realty Corp,42.65,34.1,3.89%,30.59,1.36,5.85,13.6,22.07%,0.98,3.09%,1.56%,1
SLGN,Silgan Holdings Inc,17.2,15.15,1.45%,14.16,3.48,0.75,8.1,5.03%,1.87,20.97%,3.89%,1
SLM,SLM Corp,6.43,9.05,1.43%,6.82,1.27,1.56,8.4,21.88%,1.45,21.72%,2.06%,1
SLP,Simulations Plus Inc,66.5,70.2,0.72%,62.37,15.01,16.43,51.95,25.27%,0,25.47%,20.30%,1
SM,SM Energy Co,5.93,2.61,0.86%,-21.97,0.46,0.86,1.12,31.00%,0.96,8.26%,3.53%,1
SMBC,Southern Missouri Bancorp Inc,11.51,11.85,1.61%,11.41,1.41,3.76,10.08,32.86%,0.06,13.35%,1.43%,1
SMBK,SmartFinancial Inc,12.04,15.72,0.88%,12.58,1.04,3.23,14.69,21.75%,0.13,9.41%,1.18%,1
SMCI,Super Micro Computer Inc,17.06,18.76,--,10.92,1.34,0.39,13.22,2.13%,0,8.55%,4.60%,1
SMDM,Singing Machine Company Inc,63.55,12.9,--,0.26,1.2,0.22,11.16,1.36%,0.02,2.49%,0.52%,1
SMED,Sharps Compliance Corp,87.37,338.36,--,74.83,2.69,1.52,37.88,0.48%,0.04,3.15%,2.08%,1
SMFG,Sumitomo Mitsui Financial Group Inc,8.1,7.71,4.67%,7.63,0.5,1.3,5.08,17.36%,1.89,6.37%,0.35%,1
SMG,Scotts Miracle-Gro Co,13.86,13.89,2.15%,21.36,8.38,1.91,11.45,13.84%,2.12,81.49%,14.36%,1
SMICY,Semiconductor Manufacturing International Corp,54.97,62.08,--,276.67,1.37,2.75,7.51,2.30%,0.49,2.75%,0.64%,1
SMID,Smith-Midland Corp,14.89,18.19,0.91%,6.04,1.56,0.67,10.57,4.19%,0.38,10.77%,5.51%,1
SMLR,Semler Scientific Inc,30.73,79.13,--,29.13,24.07,11.48,61.53,23.33%,0,166.20%,105.33%,1
SMMF,Summit Financial Group Inc,10.07,11.06,2.40%,10.15,1.28,3.3,9.76,32.19%,0.08,13.67%,1.40%,1
SMP,Standard Motor Products Inc,17.57,21.26,1.75%,17.2,2.38,1.04,14.62,5.21%,0,14.15%,7.79%,1
SMPL,Simply Good Foods Co,74.51,43.07,--,31.28,1.93,4.13,41.53,9.08%,0.54,2.77%,1.77%,1
SMSMY,Sims Metal Management Ltd,14.79,14.79,3.75%,7.8,1,0.35,7.96,2.36%,0.02,7.00%,4.92%,1
SMTC,Semtech Corp,76.72,55.56,--,35.58,5.07,6.13,30.43,10.38%,0.26,6.75%,4.39%,1
SNA,Snap-On Inc,13.4,13.96,2.59%,13.58,3.4,2.25,11.51,17.18%,0.29,21.58%,13.05%,1
SND,Smart Sand Inc,3.64,4.87,--,2.13,0.38,0.39,2.52,8.80%,0.03,10.87%,7.10%,1
SNDR,Schneider National Inc,22.69,14.87,1.06%,17.76,1.83,0.82,7.15,5.43%,0.14,8.35%,4.77%,1
SNE,Sony Corp,11.63,10.96,0.52%,18,2.44,1.16,7.44,11.15%,0.14,23.58%,4.30%,1
SNFCA,Security National Financial Corp,13.33,5.24,--,6.25,0.62,0.43,4.22,7.76%,1.44,4.83%,0.77%,1
SNN,Smith & Nephew PLC,30.57,32.2,1.49%,23.92,4.3,4.31,19.57,13.52%,0.4,14.55%,8.38%,1
SNP,China Petroleum & Chemical Corp,11.17,8.27,9.18%,9.07,0.15,0.2,3.18,2.73%,0.38,6.32%,3.35%,1
SNPS,Synopsys Inc,42.96,43,--,28.4,5.47,6.65,30.34,15.84%,0.03,14.08%,8.48%,1
SNV,Synovus Financial Corp,11.79,11.48,3.09%,9.91,1.32,3.13,12.49,29.30%,0.44,13.64%,1.27%,1
SNX,SYNNEX Corp,14.96,14.94,1.10%,11.05,1.95,0.31,8.56,2.11%,0.72,13.74%,4.31%,1
SO,Southern Co,14.69,29.71,3.90%,20.57,2.43,3.06,11.5,9.66%,1.51,17.36%,3.99%,1
SOGO,Sogou Inc,24.08,19.6,--,19.68,1.84,1.66,12.11,8.79%,0,7.97%,5.39%,1
SOI,Solaris Oilfield Infrastructure Inc,7.95,8.29,3.08%,9.3,2.51,2.74,6.21,43.59%,0,24.17%,20.41%,1
SON,Sonoco Products Co,17.92,18.52,2.96%,16.47,3.16,1.07,10.73,5.70%,0.64,17.97%,6.67%,1
SONA,Southern National Bancorp of Virginia Inc,12.11,11.45,2.27%,15.89,1.04,4.12,10,34.15%,0.15,8.97%,1.18%,1
SORL,Sorl Auto Parts Inc,4,6.94,--,4.05,0.47,0.17,3.24,3.30%,0.02,12.24%,3.52%,1
SOTK,Sono-Tek Corp,155.45,210.92,--,2.24,3.91,2.8,68.97,1.39%,0.07,2.56%,1.77%,1
SP,SP Plus Corp,19.76,18.34,--,15.1,2.54,0.59,13.06,3.74%,0.94,12.92%,4.53%,1
SPAR,Spartan Motors Inc,35.47,40.13,0.58%,19.09,3.02,0.59,23.42,1.84%,0.54,8.88%,3.96%,1
SPEX,Spherix Inc,2.66,1.4,--,1.28,0.39,131.44,1.16,6167.86%,0,4.56%,4.00%,1
SPG,Simon Property Group Inc,20.05,18.4,5.80%,21.6,16.89,7.76,10.66,49.88%,9.97,77.07%,8.21%,1
SPGI,S&P Global Inc,34.28,37.36,0.79%,30.68,204.1,10.86,30.35,33.89%,8.57,334.61%,23.18%,1
SPGZ,Spectrum Group International Inc,32.69,6.26,--,699,0.29,0,3.2,0.05%,0.12,1.00%,0.37%,1
SPH,Suburban Propane Partners LP,20.46,20.48,10.65%,16.49,3.28,1.1,7.38,5.41%,2.9,14.96%,3.35%,1
SPKKY,Spark New Zealand Ltd,20.19,20.19,6.20%,20.7,5.64,2.34,9.35,11.58%,0.97,27.75%,10.30%,1
SPMYY,Spirent Communications plc,29.08,30.13,1.71%,10.9,4.73,3.37,21.34,11.70%,0.07,17.02%,11.56%,1
SPNS,Sapiens International Corporation NV,55.39,92.36,0.87%,33.17,5.86,4.07,37.23,4.83%,0.27,11.11%,5.59%,1
SPR,Spirit AeroSystems Holdings Inc,11.53,12.43,0.69%,10.86,4.52,0.93,8.57,8.46%,1.32,46.46%,10.25%,1
SPRS,Surge Components Inc,3.74,6.22,--,2.3,1.42,0.36,6.1,6.06%,0,46.90%,25.78%,1
SPSC,SPS Commerce Inc,64.07,83.6,--,46.27,5.73,7.27,54.02,9.62%,0,9.67%,7.97%,1
SPWH,Sportsmans Warehouse Holdings Inc,13.59,12,--,11.76,2.87,0.33,6.82,2.80%,0.22,25.30%,3.67%,1
SPXC,SPX Corp,27.9,28.23,--,18.41,4.77,1.44,19.85,5.31%,0.7,19.30%,3.98%,1
SQM,Sociedad Quimica y Minera de Chile SA,22.82,16.59,4.43%,25.28,3.49,3.51,10.89,19.51%,0.63,15.31%,7.31%,1
SR,Spire Inc,22.98,23.01,3.07%,21.32,1.8,2.12,11.45,9.46%,0.82,7.86%,2.55%,1
SRC,Spirit Realty Capital Inc,20.44,31.13,5.07%,23.86,1.55,9.37,14.63,33.36%,0.62,7.37%,4.19%,1
SRCE,1st Source Corp,14.22,16.12,2.30%,13.92,1.58,3.96,11.23,26.22%,0.16,11.63%,1.41%,1
SRCI,SRC Energy Inc,4.5,3.73,--,5.47,0.56,1.44,2.21,40.27%,0.41,13.37%,7.93%,1
SRDX,Surmodics Inc,73.52,73.51,--,-120.18,4.46,5.5,36.92,7.59%,0,6.57%,4.69%,1
SRE,Sempra Energy,19.36,43.74,2.58%,24.28,2.58,3.81,17.78,8.15%,1.13,14.19%,3.07%,1
SRI,Stoneridge Inc,12.17,15.71,--,19.29,2.91,0.94,9.59,6.28%,0.39,25.22%,11.94%,1
SRL,Scully Royalty Ltd,1.48,1.68,--,11.54,0.52,1.47,1.6,80.29%,0.01,42.25%,31.17%,1
SRLP,Sprague Resources LP,7.57,5.23,16.12%,11.66,3.97,0.11,3.23,2.12%,5.59,45.43%,5.56%,1
SRRE,Sunrise Real Estate Group Inc,0.59,0.59,25.00%,0.4,0.24,3.33,0.57,564.48%,0,47.68%,26.69%,1
SRSK,SBM Industries Inc,1.04,2.65,--,0.2,0.22,0.04,1.37,1.51%,0.8,23.88%,4.70%,1
SSB,South State Corp,16.35,17.72,2.15%,15.37,1.24,4.47,13.54,26.99%,0.35,7.86%,1.22%,1
SSD,Simpson Manufacturing Co Inc,31.22,30.42,1.12%,28.13,4.17,3.25,22.04,11.62%,0,13.20%,10.84%,1
SSDOY,Shiseido Co Ltd,45.57,51.85,--,72.74,6.47,2.8,29.25,5.93%,0.21,14.52%,7.06%,1
SSL,Sasol Ltd,45.34,44.7,4.38%,9.51,0.89,0.97,8.23,2.98%,0.61,1.94%,1.34%,1
SSLZY,Santos Ltd,14.28,20.61,1.95%,6.19,1.71,3.1,9.78,16.70%,0.55,12.58%,5.97%,1
SSNC,SS&C Technologies Holdings Inc,46,146.86,0.80%,16.74,3.26,3.46,25.28,3.02%,1.57,7.87%,2.43%,1
SSP,E. W. Scripps Co,227.75,22.32,1.32%,-86.36,1.38,0.91,10.24,4.64%,2.15,0.70%,0.25%,1
SSRM,SSR Mining Inc,64.43,343.16,--,25.63,2.02,4.16,22.09,-0.01%,0.16,3.31%,2.11%,1
SSTK,Shutterstock Inc,49.85,27.92,--,31.35,4.83,2.37,15.23,8.77%,0,10.49%,5.43%,1
SSW,Seaspan Corp,8.13,10.7,3.56%,18.01,0.95,2.66,6.68,25.43%,0.9,12.73%,5.48%,1
ST,Sensata Technologies Holding PLC,17.48,14.6,--,14.54,3.15,2.37,9.68,17.01%,1.25,19.49%,7.16%,1
STAA,STAAR Surgical Co,195.53,333.24,--,200.99,10.93,11.45,219.57,4.01%,0,6.30%,4.93%,1
STAG,STAG Industrial Inc,50.93,39.97,4.54%,101.02,2.14,10.87,16.63,27.42%,0.72,4.22%,2.38%,1
STAY,Extended Stay America Inc,33.76,23.43,6.60%,14.41,3.15,2.08,6.05,16.61%,3.24,9.34%,4.41%,1
STBA,S&T Bancorp Inc,13.04,12.95,2.80%,13.31,1.39,5.44,13.85,38.20%,0.12,11.10%,1.44%,1
STC,Stewart Information Services Corp,10.75,20.29,2.95%,9.76,1.28,0.51,11.5,3.09%,0.14,12.64%,6.97%,1
STE,Steris plc,38.45,42.45,0.98%,27.1,3.97,4.42,24.11,10.97%,0.37,10.59%,6.61%,1
STFC,State Auto Financial Corp,45.42,103.38,1.31%,29.26,1.41,1.02,61.21,1.00%,0.13,3.33%,1.02%,1
STKS,One Group Hospitality Inc,26,31.01,--,22.56,7.26,1.11,15.49,4.56%,0.86,34.86%,6.38%,1
STL,Sterling Bancorp,10.23,10.57,1.36%,10.06,0.95,3.96,8.63,41.78%,0.08,9.83%,1.42%,1
STLD,Steel Dynamics Inc,8.97,6.11,2.94%,10.76,1.74,0.64,4.48,10.62%,0.58,20.26%,10.47%,1
STM,STMicroelectronics NV,23.73,19.62,0.88%,25.35,3.7,2.65,12.09,13.21%,0.31,16.54%,9.48%,1
STMP,Stamps.Com Inc,18.27,9.11,--,17.54,2.25,2.41,7.25,28.73%,0.07,12.79%,9.47%,1
STND,Standard AVB Financial Corp,17.06,16.4,2.87%,30.8,1.02,4.34,13.14,26.13%,0.01,6.14%,0.86%,1
STNE,StoneCo Ltd,56.19,136.16,--,60,8.61,22.46,122.19,19.95%,0.44,21.13%,5.37%,1
STOR,STORE Capital Corp,31.45,44.21,3.79%,32.26,2.01,13.56,24.53,31.70%,0.76,6.72%,3.67%,1
STRL,Sterling Construction Company Inc,16.3,15.23,--,13.29,2.04,0.37,8.4,2.82%,0.35,13.35%,4.82%,1
STT,State Street Corp,16.41,12.93,2.55%,13.87,1.38,2.54,8.29,21.42%,0.45,8.90%,0.87%,1
STWD,Starwood Property Trust Inc,16.31,17.45,7.75%,13.36,1.5,5.8,12.78,37.07%,2.37,9.19%,0.67%,1
STX,Seagate Technology PLC,9.48,8.5,4.33%,12.18,8.9,1.58,6.17,19.36%,2.34,97.46%,19.24%,1
STXB,Spirit of Texas Bancshares Inc,17.91,22.02,--,14.9,1.24,5.06,31.79,17.35%,0.25,7.81%,1.14%,1
STZ,Constellation Brands Inc,59.79,12.13,1.59%,21.71,3.07,4.38,9.32,42.16%,0.97,6.89%,3.00%,1
SUBCY,Subsea 7 SA,41.39,21.76,1.44%,12.14,0.67,0.97,6.28,4.04%,0.09,1.61%,1.03%,1
SUHJY,Sun Hung Kai Properties Ltd,7.73,7.73,4.10%,10.35,0.61,4.04,7.16,53.94%,0.15,8.07%,6.27%,1
SUI,Sun Communities Inc,94.03,116.55,2.00%,89.21,3.88,11.24,34.68,10.61%,0.91,4.23%,2.22%,1
SUM,Summit Materials Inc,136.69,53.12,--,49.82,1.99,1.27,10.41,2.57%,1.35,1.61%,0.60%,1
SUPN,Supernus Pharmaceuticals Inc,12.34,11.82,--,11.74,2.28,3.12,10.77,27.14%,0.61,21.61%,10.43%,1
SUPV,Grupo Supervielle SA,5.57,7.59,2.04%,4.1,0.97,0.71,7.99,10.58%,0.61,19.26%,2.27%,1
SVBI,Severn Bancorp Inc,12.08,13.72,1.74%,9.18,1.12,2.84,11.99,22.65%,0.57,9.74%,1.14%,1
SVC,Service Properties Trust,23.01,20.52,9.31%,12.48,1.46,1.67,6.49,8.07%,2.48,6.14%,1.97%,1
SVT,Servotronics Inc,8.59,7.14,1.51%,10.61,0.8,0.52,5.84,7.31%,0.1,9.30%,6.81%,1
SWCH,Switch Inc,160.97,179.77,0.74%,154.56,18.52,8.76,27.81,7.22%,3.16,3.82%,1.72%,1
SWDBY,Swedbank AB,7.7,7.22,10.66%,14.36,1.14,3.01,7.08,40.01%,5.89,14.85%,0.80%,1
SWK,Stanley Black & Decker Inc,30.15,31.28,1.66%,19.76,3.34,1.76,19.23,5.76%,0.47,11.13%,3.97%,1
SWKS,Skyworks Solutions Inc,24.36,24.32,1.47%,18.73,4.95,6.06,16.59,25.52%,0,20.97%,17.82%,1
SWM,Schweitzer-Mauduit International Inc,19.01,13.94,4.69%,10.72,2.02,1.12,7.44,9.08%,0.97,10.63%,4.87%,1
SWN,Southwestern Energy Co,1.07,2.29,--,3.73,0.37,0.33,1.05,13.90%,0.71,40.71%,15.93%,1
SWX,Southwest Gas Holdings Inc,20.8,22.26,2.88%,20.38,1.71,1.35,9.92,5.82%,1.02,8.77%,2.68%,1
SXI,Standex International Corp,20.42,19.82,1.16%,16.72,1.99,1.19,11.95,6.13%,0.4,10.00%,4.76%,1
SXT,Sensient Technologies Corp,23.42,18.32,2.46%,21.62,2.99,2.02,13.38,10.59%,0.69,13.12%,6.32%,1
SYBRQ,Synergy Brands Inc,0,0,--,0,0,0,0,1.96%,1.28,11.52%,3.81%,1
SYBT,Stock Yards Bancorp Inc,14.43,16.69,2.67%,14.23,2.3,5.35,14.89,34.75%,0,17.11%,1.87%,1
SYF,Synchrony Financial,6.46,9.5,2.48%,8.34,1.53,1.31,7.41,17.03%,1.35,26.10%,3.61%,1
SYK,Stryker Corp,42.65,39.98,1.10%,25.48,6.37,5.39,28.89,14.66%,0.64,16.84%,7.66%,1
SYKE,Sykes Enterprises Inc,25.43,31.15,--,17.21,1.77,0.93,12.19,3.00%,0.09,7.19%,4.70%,1
SYNH,Syneos Health Inc,76.2,272.76,--,18.71,2.17,1.35,21.01,0.53%,0.95,2.97%,1.16%,1
SYX,Systemax Inc,15.46,15.86,1.94%,18.77,5.6,0.99,14.59,6.60%,0,22.56%,13.06%,1
SYY,Sysco Corp,25.82,26.27,2.12%,22.28,17.67,0.72,17.64,2.81%,3.52,67.20%,9.13%,1
T,AT&T Inc,18.08,14.06,5.39%,10.88,1.54,1.55,5.91,11.26%,0.84,8.53%,3.08%,1
TACO,Del Taco Restaurants Inc,255.12,16,--,17.16,0.69,0.56,6.43,3.69%,0.36,0.29%,0.14%,1
TACT,TransAct Technologies Inc,37.09,15.76,3.27%,55.1,3.02,1.78,12.81,9.94%,0,8.40%,6.17%,1
TAIT,Taitron Components Inc,10.95,12.22,4.75%,2.95,1.3,2.32,11.08,16.66%,0,12.35%,11.71%,1
TALN,Talon International Inc,7.46,3.75,--,0.04,0.45,0.08,2.85,2.06%,0.49,6.39%,2.45%,1
TALO,Talos Energy Inc,1.88,5.93,--,11.77,1.44,1.62,2.83,24.86%,0.71,41.10%,14.68%,1
TAP,Molson Coors Beverage Co,77.79,10.68,4.14%,12.81,0.9,1.14,6,10.54%,0.61,1.14%,0.53%,1
TARO,Taro Pharmaceutical Industries Ltd,12.11,11.89,--,13.32,1.63,4.84,10.93,42.11%,0,12.56%,11.43%,1
TATYY,Tate & Lyle PLC,15.92,20.2,3.59%,40.68,2.65,1.29,11.06,6.57%,0.39,16.56%,8.22%,1
TAYD,Taylor Devices Inc,15.18,16.04,--,11.7,0.91,1.35,11.25,7.57%,0,7.45%,6.40%,1
TBBK,Bancorp Inc,12.62,7.84,--,11.04,1.41,2.89,7.36,31.87%,0.11,12.43%,1.17%,1
TBET,Tibet Pharmaceuticals Inc,0,0,--,0,0,0,0,40.61%,0,32.15%,27.98%,1
TBI,TrueBlue Inc,13.26,14.24,--,11.2,1.45,0.37,8.47,2.62%,0.11,11.45%,6.08%,1
TBK,Triumph Bancorp Inc,16.63,18.52,--,17.11,1.5,3.35,14.93,20.68%,0.14,9.66%,1.25%,1
TBNK,Territorial Bancorp Inc,13.2,14.96,3.02%,13.29,1.2,4.43,14.36,30.53%,0,8.91%,1.05%,1
TBTC,Table Trac Inc,25.44,31.39,--,3.6,3.53,2.17,28.91,6.59%,0,14.63%,8.50%,1
TCBI,Texas Capital Bancshares Inc,9.17,9.77,--,8.97,1.09,2.68,8.81,30.30%,0.14,12.74%,1.06%,1
TCBK,Trico Bancshares,13.13,15.58,2.22%,13.37,1.35,3.91,15.33,25.82%,0.06,10.88%,1.45%,1
TCCO,Technical Communications Corp,14.92,14.92,--,5.09,4.24,1.34,14.28,8.99%,0,33.65%,17.99%,1
TCF,TCF Financial Corp,18.16,11.64,3.08%,13.32,1.27,5.03,22.92,36.00%,0.09,5.93%,0.79%,1
TCFC,Community Financial Corp(Maryland),12.64,16.88,1.46%,12.33,1.14,3.33,14.78,20.43%,0.21,9.45%,0.85%,1
TCI,Transcontinental Realty Investors Inc,2.38,1.74,--,36.05,0.92,5.2,1.53,151.33%,1.37,47.45%,11.63%,1
TCMD,Tactile Systems Technology Inc,151.36,204.49,--,118.85,12.8,7.45,129.03,4.61%,0,9.65%,7.37%,1
TCOM,Trip.com Group Ltd,44.34,129.54,--,30.51,1.4,4.04,66.84,3.64%,0.2,4.05%,2.05%,1
TCOR,TreeCon Resources Inc,8.99,4.61,--,0.56,0.62,0.28,2.82,3.64%,0.07,7.41%,3.28%,1
TCS,Container Store Group Inc,9.9,12.16,--,9.62,0.75,0.22,3.8,1.80%,1.03,7.90%,2.09%,1
TCX,Tucows Inc,40.6,34.34,--,50.76,7.71,1.99,19.21,5.76%,1.21,20.77%,4.46%,1
TDC,Teradata Corp,210.44,133.93,--,26.98,9.09,1.5,19.37,1.11%,1.6,3.38%,0.73%,1
TDS,Telephone and Data Systems Inc,25.66,23.31,2.71%,25.13,0.6,0.51,2.51,3.11%,0.52,2.39%,1.32%,1
TDY,Teledyne Technologies Inc,36.2,40.62,--,35.12,5.19,4.33,29.89,11.48%,0.28,15.74%,8.98%,1
TECD,Tech Data Corp,17.33,18.95,--,11.5,1.72,0.14,11.33,0.78%,0.44,10.54%,2.42%,1
TECH,Bio-Techne Corp,90.45,87.5,0.59%,43.81,7.01,11.22,47.28,13.46%,0.4,8.15%,4.90%,1
TEF,Telefonica SA,18.05,10.77,6.55%,13.41,1.86,0.65,2.46,8.11%,3.16,11.42%,2.13%,1
TEL,TE Connectivity Ltd,17.12,17.13,1.88%,19.27,3.11,2.44,12.44,14.47%,0.32,18.19%,9.71%,1
TELNY,Telenor ASA,39.46,34.82,7.84%,15.66,6.27,2.02,6.97,11.48%,3.29,13.10%,3.70%,1
TEO,Telecom Argentina SA,25.84,53.37,11.92%,-36.67,0.39,0.49,2.91,3.29%,0.42,5.61%,2.90%,1
TER,Teradyne Inc,28.01,32.52,0.53%,24.75,7.72,5.27,22.08,19.15%,0.26,27.61%,15.59%,1
TESS,TESSCO Technologies Inc,124.93,16.47,7.50%,-66.63,0.88,0.16,9.94,0.91%,0,0.68%,0.31%,1
TEX,Terex Corp,12.03,18.48,1.57%,9.09,2.29,0.43,11.34,2.28%,1.35,18.05%,5.11%,1
TFC,Truist Financial Corp,14.2,14.44,3.22%,13.12,1.47,6.32,20.79,27.95%,0.74,10.89%,1.43%,1
TFSL,TFS Financial Corp,68.76,68.75,5.53%,78.08,3.22,19.12,52.95,28.08%,0,4.56%,0.56%,1
TFX,Teleflex Inc,40.35,90.23,0.36%,34.17,6.14,6.86,43.14,8.02%,0.68,16.48%,7.09%,1
TG,Tredegar Corp,9.07,28.2,2.27%,21.17,1.77,0.69,12.04,2.33%,0.17,21.35%,10.91%,1
TGE,Tallgrass Energy LP,15.02,17.82,9.89%,15.64,3.39,7.31,10.7,58.96%,1.87,14.19%,8.12%,1
TGH,Textainer Group Holdings Ltd,15.35,12.22,--,11.19,0.5,0.78,2.09,8.01%,2.81,3.30%,0.81%,1
TGLS,Tecnoglass Inc,37.34,33.55,7.04%,10.87,2.15,0.85,11.45,2.29%,1.52,5.94%,1.77%,1
TGNA,Tegna Inc,9.9,8.93,1.70%,12.43,2.35,1.59,7.35,18.13%,2.75,26.55%,6.00%,1
TGP,Teekay LNG Partners LP,18.07,457.71,5.07%,8.2,0.68,1.93,9.26,5.26%,1.59,3.69%,1.92%,1
TGS,Transportadora de Gas del Sur SA,4.42,6.01,24.70%,7.6,1.7,1.01,3.44,33.51%,0.77,69.26%,26.63%,1
TGT,Target Corp,19.98,22.98,2.12%,19.5,5.47,0.81,11.77,3.84%,0.91,28.61%,7.41%,1
THFF,First Financial Corp,11.96,11.47,2.38%,11.67,1.07,3.78,11.78,30.10%,0,9.26%,1.31%,1
THG,Hanover Insurance Group Inc,17.44,24.64,1.90%,16.5,1.76,1.14,20.47,5.31%,0.22,10.57%,2.27%,1
THO,Thor Industries Inc,22.96,28.68,2.26%,13.26,1.85,0.47,13.89,1.68%,0.84,8.43%,4.05%,1
THR,Thermon Group Holdings Inc,36.42,39.84,--,20.49,2.41,1.99,16.42,5.34%,0.53,6.93%,3.63%,1
THRM,Gentherm Inc,39.03,39.48,--,22.57,3.31,1.5,16.14,4.04%,0.22,7.92%,5.01%,1
THST,Truett-Hurst Inc,1.8,1.24,--,1.08,0.47,0.6,0.92,53.28%,0,25.59%,10.06%,1
TIF,Tiffany & Co,30.51,28.97,1.73%,29.07,5.13,3.7,20.28,12.84%,0.28,17.38%,9.39%,1
